$2 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_IRQ_EXIT, time = 3, data = 528},
{type = TR_IRQ_ENTER, time = 78, data = 4096},
{type = TR_IRQ_EXIT, time = 78, data = 528},
{type = TR_IRQ_ENTER, time = 117, data = 8192},
{type = TR_IRQ_EXIT, time = 117, data = 391},
{type = TR_IRQ_ENTER, time = 182, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 182, data = 4},
{type = TR_CONTROL_SETUP, time = 182, data = 0},
{type = TR_CONTROL_SETUP_DETAILS, time = 182, data = 0},
{type = TR_SET_NAK, time = 182, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 182, data = 18},
{type = TR_IRQ_EXIT, time = 182, data = 528},
{type = TR_IRQ_ENTER, time = 182, data = 786448},
{type = TR_IN_PACKET_SENT, time = 182, data = 0},
{type = TR_CONTROL_IN, time = 182, data = 3},
{type = TR_LAST_DATA_IN, time = 182, data = 0},
{type = TR_SET_NAK, time = 182, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 182, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 182, data = 0},
{type = TR_IRQ_EXIT, time = 182, data = 436},
{type = TR_IRQ_ENTER, time = 182, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 182, data = 4},
{type = TR_CONTROL_OUT, time = 182, data = 7},
{type = TR_STATUS_OUT, time = 182, data = 0},
{type = TR_DOEPINT_EPNUM, time = 182, data = 0},
{type = TR_DOEPINT, time = 182, data = 40968},
{type = TR_IRQ_EXIT, time = 182, data = 528},
{type = TR_IRQ_ENTER, time = 182, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 182, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 182, data = 0},
{type = TR_IRQ_EXIT, time = 182, data = 436},
{type = TR_IRQ_ENTER, time = 182, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 182, data = 0},
{type = TR_DOEPINT, time = 182, data = 1},
{type = TR_IRQ_EXIT, time = 182, data = 528},
{type = TR_IRQ_ENTER, time = 194, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 194, data = 4},
{type = TR_CONTROL_SETUP, time = 194, data = 2147877120},
{type = TR_CONTROL_SETUP_DETAILS, time = 194, data = 64},
{type = TR_SET_NAK, time = 194, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 194, data = 0},
{type = TR_IRQ_EXIT, time = 194, data = 528},
{type = TR_IRQ_ENTER, time = 194, data = 262160},
{type = TR_IN_PACKET_SENT, time = 194, data = 0},
{type = TR_CONTROL_IN, time = 194, data = 4},
{type = TR_STATUS_IN, time = 194, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 194, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 194, data = 0},
{type = TR_IRQ_EXIT, time = 194, data = 436},
{type = TR_IRQ_ENTER, time = 194, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 194, data = 0},
{type = TR_DOEPINT, time = 194, data = 32776},
{type = TR_IRQ_EXIT, time = 194, data = 528},
{type = TR_IRQ_ENTER, time = 204, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 204, data = 4},
{type = TR_CONTROL_SETUP, time = 204, data = 327681},
{type = TR_CONTROL_SETUP_DETAILS, time = 204, data = 0},
{type = TR_SET_NAK, time = 204, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 204, data = 18},
{type = TR_IRQ_EXIT, time = 204, data = 528},
{type = TR_IRQ_ENTER, time = 204, data = 786448},
{type = TR_IN_PACKET_SENT, time = 204, data = 0},
{type = TR_CONTROL_IN, time = 204, data = 3},
{type = TR_LAST_DATA_IN, time = 204, data = 0},
