$1 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_IRQ_EXIT, time = 3, data = 528},
{type = TR_IRQ_ENTER, time = 77, data = 4096},
{type = TR_IRQ_EXIT, time = 77, data = 528},
{type = TR_IRQ_ENTER, time = 117, data = 8192},
{type = TR_IRQ_EXIT, time = 117, data = 391},
{type = TR_IRQ_ENTER, time = 181, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 181, data = 4},
{type = TR_CONTROL_SETUP, time = 181, data = 0},
{type = TR_SET_NAK, time = 181, data = 1},
{type = TR_IRQ_EXIT, time = 181, data = 528},
{type = TR_IRQ_ENTER, time = 181, data = 786448},
{type = TR_IN_PACKET_SENT, time = 181, data = 0},
{type = TR_CONTROL_IN, time = 181, data = 3},
{type = TR_LAST_DATA_IN, time = 181, data = 0},
{type = TR_SET_NAK, time = 181, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 181, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 181, data = 0},
{type = TR_IRQ_EXIT, time = 181, data = 436},
{type = TR_IRQ_ENTER, time = 181, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 181, data = 4},
{type = TR_CONTROL_OUT, time = 181, data = 7},
{type = TR_STATUS_OUT, time = 181, data = 0},
{type = TR_DOEPINT_EPNUM, time = 181, data = 0},
{type = TR_DOEPINT, time = 181, data = 40968},
{type = TR_IRQ_EXIT, time = 181, data = 528},
{type = TR_IRQ_ENTER, time = 181, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 181, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 182, data = 0},
{type = TR_IRQ_EXIT, time = 182, data = 436},
{type = TR_IRQ_ENTER, time = 182, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 182, data = 0},
{type = TR_DOEPINT, time = 182, data = 1},
{type = TR_IRQ_EXIT, time = 182, data = 528},
{type = TR_IRQ_ENTER, time = 193, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 193, data = 4},
{type = TR_CONTROL_SETUP, time = 193, data = 64},
{type = TR_SET_NAK, time = 193, data = 1},
{type = TR_IRQ_EXIT, time = 193, data = 528},
{type = TR_IRQ_ENTER, time = 193, data = 262160},
{type = TR_IN_PACKET_SENT, time = 193, data = 0},
{type = TR_CONTROL_IN, time = 193, data = 4},
{type = TR_STATUS_IN, time = 193, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 193, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 193, data = 0},
{type = TR_IRQ_EXIT, time = 193, data = 436},
{type = TR_IRQ_ENTER, time = 193, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 193, data = 0},
{type = TR_DOEPINT, time = 193, data = 32776},
{type = TR_IRQ_EXIT, time = 193, data = 528},
{type = TR_IRQ_ENTER, time = 203, data = 16},
